Name,RA_deg,DEC_deg,mag,offset_name,offset_ra,offset_dec,offset_mag,separation,pos_angle,dra_offset,ddec_offset
J073950.838+264530.179,114.961825,26.7583831,21.491886,J073950.838+264530.179_offset_B,114.95284602972367,26.761359405210264,16.820635,30.787062983591344,110.36460319262846,28.86278399101136,-10.713680422550192
J074444.791+235251.153,116.186631,23.8808758,20.732376,J074444.791+235251.153_offset_B,116.18276225235772,23.88228901930581,17.453247,13.713707081229229,111.77563892267226,12.735146884964566,-5.087415430285256
J075143.772+265310.881,117.932383,26.8863557,21.17532,J075143.772+265310.881_offset_B,117.92562708677283,26.87800518325139,17.725271,37.07162525940209,35.81324936026134,21.69228424065541,30.062438476058773
J075406.355+275437.431,118.5264797,27.9103975,21.252041,J075406.355+275437.431_offset_A,118.536099818309,27.90928042593227,17.777721,30.86724918513601,277.4881766504113,-30.60400634830029,4.022669239435611
J075810.333+232224.430,119.5430533,23.3734529,21.305172,J075810.333+232224.430_offset_A,119.5395947053238,23.37720943836604,18.194746,17.706184192516062,139.79743364203722,11.429198467189943,-13.523401245406587
J080708.159+235154.670,121.7839951,23.8651862,21.356543,J080708.159+235154.670_offset_A,121.77248592864512,23.85931679577228,18.29747,43.384619824074164,60.85174516238052,37.8904922988335,21.131394550544865
J082825.529+003622.881,127.1063701,0.6063557,21.019175,J082825.529+003622.881_offset_B,127.09550543783776,0.6082220994105036,19.065414,39.6835415311182,99.74796439938886,39.11059355143616,-6.718998514702454
J083500.223-012109.555,128.7509282,-1.3526542,21.527088,J083500.223-012109.555_offset_B,128.74172295490507,-1.3541960615912194,16.353376,33.59141489162625,80.48883447428547,33.12964779815566,5.550638833115107
J083705.499+000436.995,129.2729133,0.0769431,21.425818,J083705.499+000436.995_offset_A,129.26833673290292,0.074873621336565,17.153173,18.081776005354676,65.66796275178876,16.475626704065203,7.450124048240886
J083845.653-014523.626,129.6902208,-1.7565628,20.505322,J083845.653-014523.626_offset_B,129.6954275912696,-1.7601582238862006,19.711405,22.771877534508562,304.6386200390378,-18.73564033480383,12.943499841816989
J084259.384-013135.701,130.7474334,-1.5265835,21.307257,J084259.384-013135.701_offset_A,130.7506616113356,-1.518722622048789,19.556763,30.590975853940765,202.31923647813338,-11.617436100993174,-28.29916929846336
J085037.729+010301.747,132.6572026,1.0504854,21.740502,J085037.729+010301.747_offset_A,132.6615775739474,1.0362316181276894,17.911484,53.67554706975444,342.93966073000377,-15.747259596487496,51.31362561304141
J085339.277-005204.026,133.4136561,-0.8677851,21.34858,J085339.277-005204.026_offset_A,133.41532168274156,-0.8792957227504925,17.00044,41.86971130721222,351.76740065519243,-5.995410274104327,41.43824056447595
J085428.106+290833.104,133.6171092,29.1425288,20.71449,J085428.106+290833.104_offset_A,133.6285735899035,29.142015792186168,19.272562,36.09461555804661,272.9356854818525,-36.0472468883388,1.8485843459826208
J085617.484+264026.620,134.0728517,26.6740612,21.032263,J085617.484+264026.620_offset_A,134.07827217919493,26.674708183643027,16.479322,17.591791855383562,262.3929552994332,-17.43697127056016,-2.328770835530686
J090107.142-010135.557,135.2797577,-1.0265437,20.81259,J090107.142-010135.557_offset_A,135.2750373970369,-1.0268932309384808,19.508354,17.036894133673947,85.7644322413128,16.990363320520494,1.258298835591927
J090500.587+021433.760,136.2524455,2.2427111,21.46704,J090500.587+021433.760_offset_A,136.24576205282045,2.247147283999893,18.62196,28.862853899062458,123.59463301333209,24.041980188252392,-15.970207418228878
J095415.180-011754.786,148.5632501,-1.2985516,20.288416,J095415.180-011754.786_offset_A,148.54922425340953,-1.2984461853923457,18.11366,50.48150771102919,90.4308815616616,50.48008022854438,-0.3796325980659919
J095928.143+065144.225,149.8672618,6.8622846,21.151047,J095928.143+065144.225_offset_A,149.86241969873527,6.87085474109167,19.088625,35.37503804527624,150.70972110753124,17.306688641388284,-30.852420443330523
J102047.400+042946.612,155.1975004,4.496281,21.055714,J102047.400+042946.612_offset_B,155.19463922817786,4.504809065882771,18.804138,32.372749781326,161.50654198667038,10.268518971224577,-30.701017040486487
J104654.886+015807.106,161.7286907,1.9686405,21.373766,J104654.886+015807.106_offset_A,161.72297531639475,1.9715896532031367,15.15563,23.14229083849548,117.30756427186398,20.56323697887501,-10.61691624610347
J105745.991-034905.170,164.4416288,-3.8181027,21.61671,J105745.991-034905.170_offset_A,164.4318190623062,-3.81501693766522,17.84567,36.94633678163854,107.4983209909135,35.23667324498559,-11.10894510760012
J110039.295+023721.243,165.1637309,2.6225675,20.538475,J110039.295+023721.243_offset_B,165.15711272912722,2.615108575223652,18.015247,35.88178034076207,41.5522003402158,23.80046119600261,26.85219191210322
J110610.505+022803.082,166.5437702,2.4675228,21.844202,J110610.505+022803.082_offset_A,166.5347094672355,2.4731358119788345,18.890024,38.344692108173305,121.80136131152362,32.588393651804445,-20.206731934217373
J111125.153+064053.984,167.854804,6.6816622,20.75224,J111125.153+064053.984_offset_B,167.84835301217385,6.673840395865386,16.641792,36.399744632456496,39.32221274533523,23.06582059498711,28.158645792932973
J111403.001-014452.996,168.5125025,-1.7480545,21.316284,J111403.001-014452.996_offset_A,168.50751574776902,-1.7529192924939692,19.380352,25.07386413264882,45.6959796561883,17.94395358053325,17.513229091661717
J111458.782-022438.591,168.7449254,-2.4107198,21.640625,J111458.782-022438.591_offset_A,168.72961636821464,-2.4144762741504167,17.627535,56.699971511506114,76.20191777215184,55.06373874864486,13.522997033666558
J111830.847+001517.769,169.6285301,0.2549358,21.657366,J111830.847+001517.769_offset_A,169.63041712380974,0.2495333533021221,16.428703,20.60106728753525,340.7463490533434,-6.793218499369259,19.448808599557765
J113121.141-005256.601,172.8380889,-0.8823891,21.507273,J113121.141-005256.601_offset_A,172.8319531871879,-0.8727765767030533,19.800848,41.05243144495715,147.45283895107227,22.085947021578388,-34.60510188225798
J113206.568+005855.988,173.0273671,0.982219,21.589154,J113206.568+005855.988_offset_A,173.01536631733956,0.9890741272516604,18.346819,49.74894405465881,119.73956482671679,43.19646980012362,-24.67838001698132
J114343.811+001626.742,175.932546,0.2740949,21.304175,J114343.811+001626.742_offset_A,175.9326774811471,0.2753203382162371,17.235355,4.436896988363301,186.1239482670252,-0.4733267135105666,-4.411577575843737
J114605.543+034527.534,176.5230967,3.7576484,21.729409,J114605.543+034527.534_offset_A,176.5368409686855,3.755222696060856,18.170685,50.13937211401395,280.03053223199737,-49.372995759823006,8.732922028045511
J115218.583+005934.029,178.0774277,0.9927859,20.296341,J115218.583+005934.029_offset_A,178.0868746233301,0.9935041759027544,16.831478,34.101990609228245,265.65143903692973,-34.00381872984143,-2.5857446438177334
J115529.635+014537.107,178.8734801,1.7603076,21.259032,J115529.635+014537.107_offset_A,178.88655576524843,1.7617002843257283,16.833582,47.31653680966001,263.91771780361603,-47.050180537887854,-5.013498523425961
J115832.799-024211.696,179.6366611,-2.7032488,21.788176,J115832.799-024211.696_offset_C,179.63580583349085,-2.6918808154485103,19.393126,41.04014736569901,175.70224677354142,3.0755332345667203,-40.92474546342076
J115904.075+013619.894,179.766978,1.605526,21.035588,J115904.075+013619.894_offset_B,179.76528409853267,1.6169155126710972,19.71136,41.4528756874096,171.5439834349299,6.095651416507277,-41.00224307343899
J120118.670-005805.073,180.3277936,-0.9680758,21.28855,J120118.670-005805.073_offset_A,180.31531109905973,-0.970967256763619,15.575506,46.12058646840178,76.95628093049594,44.93058931971792,10.409161411276962
J120739.066+011034.065,181.9127749,1.1761293,20.9885,J120739.066+011034.065_offset_A,181.91232967669183,1.1748388013489617,15.670133,4.9143984101965925,19.03076277792459,1.6024662339647295,4.645795271393244
J122010.628+022322.561,185.0442825,2.3896002,21.030588,J122010.628+022322.561_offset_A,185.0508087081371,2.3964687941041616,15.767578,34.094627329894436,223.51095047381756,-23.47391911722737,-24.72688287438977
J123611.077-015939.586,189.0461555,-1.9943295,21.462073,J123611.077-015939.586_offset_A,189.0466864345262,-2.000113185379067,19.29557,20.90870753631039,354.7581840050279,-1.9102065450482293,20.821267055745235
J123824.230+023459.841,189.6009592,2.5832891,20.691695,J123824.230+023459.841_offset_A,189.60217384490463,2.5728382553901423,17.78899,37.875786360088846,353.3772439996721,-4.3682779853333615,37.62304267399374
J124128.873+004606.334,190.3703054,0.7684261,21.701563,J124128.873+004606.334_offset_A,190.37528351700792,0.7695484462794387,17.404112,18.369472753591364,257.2936779181383,-17.919609510262095,-4.04043615056419
J124331.371+140317.271,190.8807105,14.0547975,21.089678,J124331.371+140317.271_offset_A,190.8821325314127,14.068052527755164,20.247253,47.9758000622308,185.941431146627,-4.966060997301178,-47.71808493875137
J124351.828-033752.158,190.9659489,-3.6311549,21.437168,J124351.828-033752.158_offset_A,190.9579063350528,-3.631206621498696,18.407948,28.895707488891993,89.63105110010375,28.89510840306692,0.1860689542586406
J124532.872-014337.767,191.3869684,-1.7271574,21.279074,J124532.872-014337.767_offset_A,191.39495824915863,-1.7298067629251286,18.804615,30.291113880519603,288.3527328717533,-28.75038937350071,9.537646018858611
J124558.418-023232.766,191.4934098,-2.542435,21.274773,J124558.418-023232.766_offset_A,191.48742036124847,-2.5435403674820423,15.097098,21.905221535552165,79.53361358485577,21.540754796363448,3.97927297013745
J124702.752-014201.836,191.7614667,-1.7005101,21.111744,J124702.752-014201.836_offset_A,191.7523995534967,-1.698592307561856,16.345577,33.34982896244847,101.94785738120544,32.62735188150225,-6.904129302212167
J125312.362-020041.081,193.3015099,-2.0114115,20.877014,J125312.362-020041.081_offset_A,193.31156398380696,-2.025241787688223,19.987732,61.54168927579867,324.0010316038514,-36.1724016221313,49.788923519405365
J125505.475+032307.661,193.7728126,3.3854614,21.61522,J125505.475+032307.661_offset_A,193.7647115129428,3.3773571711743084,19.380672,41.216120346757926,44.93873420498158,29.11301813498708,29.17534502220561
J125706.683+013558.162,194.2778446,1.5994894,20.777727,J125706.683+013558.162_offset_A,194.2728016293429,1.5954338652188425,17.528694,23.291513507661328,51.18296470933787,18.1476206854338,14.599947448006786
J125911.195-002332.387,194.7966448,-0.3923296,21.492737,J125911.195-002332.387_offset_A,194.79775836703155,-0.3932556227560218,15.28041,5.213778720337129,309.74697264234754,-4.008747332288132,3.3336816543030845
J130421.580-004214.554,196.0899186,-0.7040429,21.675385,J130421.580-004214.554_offset_A,196.0789742867496,-0.6969477452152155,18.343697,46.95224159311289,122.95720251385887,39.39655354071889,-25.54260299312487
J130511.453-001954.414,196.2977226,-0.3317816,21.810032,J130511.453-001954.414_offset_A,196.3032102531023,-0.3278056921325716,19.98137,24.39546108316923,234.0754971123978,-19.7552199954071,-14.313273735360106
J131251.868+000437.866,198.2161183,0.0771849,21.433153,J131251.868+000437.866_offset_A,198.2176713241041,0.0683384348166892,18.941307,32.33429862729689,350.0430193861289,-5.590881768396777,31.8472747502938
J131653.494-024132.389,199.2228899,-2.6923304,21.676598,J131653.494-024132.389_offset_C,199.2299797783301,-2.704514251165107,17.64599,50.733336656940885,329.83199827632683,-25.49538893378981,43.86178976350695
J131729.651-030247.665,199.3735463,-3.0465736,21.004038,J131729.651-030247.665_offset_A,199.37662543021253,-3.046422001565919,18.776867,11.082648618639956,267.1773010902663,-11.06920210897051,-0.5457701698740006
J131829.977-003134.540,199.6249036,-0.5262612,21.25586,J131829.977-003134.540_offset_A,199.62671430987805,-0.5180856154064353,17.375397,30.145261896472167,192.4876415449803,-6.518280663434313,-29.432105468160056
J132045.682+012840.505,200.190343,1.4779181,21.607039,J132045.682+012840.505_offset_A,200.18592819076764,1.484701682943435,15.782913,29.134324964901985,146.95230203435983,15.888026268416157,-24.42088273658377
J132056.997-024118.973,200.2374883,-2.6886037,21.508454,J132056.997-024118.973_offset_A,200.23399012014,-2.6789546479536805,19.525291,36.94425136817204,160.0925491202752,12.579585119962625,-34.73660531575196
J132059.109-035900.657,200.2462887,-3.9835159,21.093046,J132059.109-035900.657_offset_A,200.245305235749,-3.9872027487688735,18.80771,13.734546707657758,14.901361722593762,3.531917808554381,13.272653460226396
J132508.968-020149.780,201.2873654,-2.0304944,21.695074,J132508.968-020149.780_offset_A,201.2825305784987,-2.026652475254848,19.597078,22.222994182561717,128.4895110944301,17.39442881122415,-13.830955036536118
J133444.765-012730.851,203.6865211,-1.4585698,21.194311,J133444.765-012730.851_offset_A,203.6861709958254,-1.4514689982130826,15.258839,25.59391888241451,177.17823740505716,1.2599666666531553,-25.56288653041138
J133523.109-022040.973,203.8462876,-2.3447147,21.72578,J133523.109-022040.973_offset_A,203.8444039915403,-2.352494493609869,18.190586,28.815118567665436,13.599315422565242,6.775313277073944,28.007252424105005
J133945.977+024630.735,204.9415709,2.7752043,21.884953,J133945.977+024630.735_offset_A,204.9461125716551,2.7724614929131564,19.742712,19.083893520213184,301.15846690381244,-16.330842420369862,9.874136819898284
J134028.617+142244.748,205.119237,14.3790966,21.077648,J134028.617+142244.748_offset_A,205.115521248442,14.366630268038447,19.720314,46.712061411597894,16.104756325211742,12.957664920559123,44.878899315548885
J134059.044-011008.623,205.2460181,-1.169062,21.478571,J134059.044-011008.623_offset_A,205.24789480165663,-1.1732870320093096,19.169014,16.64252908110158,336.05428099602824,-6.754719667668853,15.2101129683421
J134129.698-020201.666,205.3737422,-2.0337961,21.499892,J134129.698-020201.666_offset_A,205.36723747348807,-2.0356245768895675,18.826208,24.31038628349097,74.29003992002747,23.402264317673524,6.582469615920113
J134222.264-000324.694,205.5927658,-0.0568595,21.435507,J134222.264-000324.694_offset_A,205.59057227331945,-0.049710843944487,19.546,26.919441066918825,162.94165770630997,7.896692223053882,-25.735161930995524
J134922.649+080505.212,207.3443697,8.0847812,20.871397,J134922.649+080505.212_offset_A,207.34029559293856,8.09060255888498,20.295938,25.496040770802672,145.28185090614636,14.521013030054188,-20.956819326704743
J135021.329+002024.222,207.5888693,0.3400618,21.365885,J135021.329+002024.222_offset_A,207.5814382364969,0.3323069821828045,15.56317,38.665408293812575,43.7781572938959,26.75135767001854,27.91735420330729
J135132.346+012809.719,207.8847743,1.4693663,20.876961,J135132.346+012809.719_offset_A,207.8932011427424,1.476094898926388,19.809708,38.81307828427085,231.384488459784,-30.32665872404361,-24.2228986862674
J135132.838+000628.305,207.8868236,0.1078626,21.714978,J135132.838+000628.305_offset_A,207.8901372714529,0.1031718731462384,16.987392,20.675191986689658,324.7615080840118,-11.929196131666108,16.886617294706
J135201.743+000224.784,208.0072622,0.0402179,20.6999,J135201.743+000224.784_offset_A,208.0067203581452,0.0344830072212434,19.838135,20.737558583441803,5.397373373569228,1.950630206555628,20.64561400907486
J135743.514-021706.860,209.4313087,-2.285239,21.681826,J135743.514-021706.860_offset_A,209.43438619140844,-2.2816007698312872,19.597815,17.149244390391313,220.20457713630304,-11.070158000141408,-13.09764044323901
J141127.999+030327.630,212.8666645,3.0576751,21.287041,J141127.999+030327.630_offset_C,212.8670511612557,3.071787970683182,16.206345,50.825344981331675,181.56715115356832,-1.3899988643944672,-50.80633420812005
J141302.038-005932.920,213.2584914,-0.9924778,21.474566,J141302.038-005932.920_offset_B,213.2724363612587,-0.9958229350452624,17.052593,51.61869428362837,283.4911365398778,-50.19432922410105,12.04238000391025
J141418.478+030005.572,213.5769913,3.0015477,21.660471,J141418.478+030005.572_offset_A,213.57697278978287,3.007862934761138,18.061037,22.734942529156704,179.83229454161554,0.0665453644427765,-22.7348451395344
J141552.025+020259.948,213.9667721,2.0499856,21.360882,J141552.025+020259.948_offset_A,213.9673609795514,2.0508219424396783,19.28429,3.681523918840213,215.13261102082888,-2.118609606726113,-3.010832393226282
J142615.867+014842.065,216.566112,1.8116847,21.363402,J142615.867+014842.065_offset_A,216.5575518405753,1.8260964817932208,19.119719,60.336468413104456,149.30351910173002,30.80117073886797,-51.88234113533346
J142859.897+010105.390,217.2495697,1.0181639,21.693638,J142859.897+010105.390_offset_A,217.2550062171786,1.019726492525053,19.403023,20.36087816158209,253.96165314109427,-19.56837175432544,-5.625316568254179
J142933.775+021921.760,217.390728,2.3227112,21.315472,J142933.775+021921.760_offset_A,217.38665790383223,2.331310797935879,17.009956,34.24571926664648,154.69050502137316,14.640308132536475,-30.95853141674765
J143213.277+001547.307,218.0553188,0.2631408,21.495863,J143213.277+001547.307_offset_A,218.05224608175385,0.2727505445546484,18.769173,36.32051780851025,162.26848416220503,11.061669180868162,-34.59507898474242
J143403.772-002222.670,218.5157173,-0.372964,21.552324,J143403.772-002222.670_offset_A,218.51947439602108,-0.3758608771682032,15.196483,17.07898015753591,307.63429584972926,-13.52525913573725,10.42875489651172
J143440.038+024041.375,218.6668256,2.6781596,21.478136,J143440.038+024041.375_offset_A,218.67638082587416,2.683906732392064,16.25711,40.10925181566766,238.9470718902211,-34.36124151687555,-20.689542445227268
J143717.365-015138.421,219.3223548,-1.8606724,21.685091,J143717.365-015138.421_offset_A,219.31910529775809,-1.8658782151109043,16.53919,22.08904748601424,31.959110125622924,11.692040099576978,18.740923603864697
J143853.869-010325.407,219.7244524,-1.0570574,20.842762,J143853.869-010325.407_offset_A,219.7294941626032,-1.0573978353007147,19.346104,18.188592535845533,273.8635325668977,-18.14725653878248,1.225552348193334
J144052.656-003546.994,220.2193986,-0.5963872,21.750136,J144052.656-003546.994_offset_A,220.2130349620085,-0.5900995787027097,18.831528,32.20455627339893,134.65730362837684,22.90785586820605,-22.635449772084097
J144153.799+014903.267,220.4741627,1.8175742,21.26101,J144153.799+014903.267_offset_A,220.4661519797617,1.8237889394526416,19.832865,36.488064269009946,127.81829720274547,28.824083719909027,-22.37299790071901
J144441.985-001539.993,221.1749369,-0.2611093,21.213896,J144441.985-001539.993_offset_A,221.1642691601716,-0.2568308438606805,19.935408,41.377068704445925,111.85421553681077,38.40346469996079,-15.402458127112672
J145001.337+022819.884,222.505571,2.4721901,21.626286,J145001.337+022819.884_offset_A,222.50172237605608,2.4685235919532165,16.827562,19.1266985561225,46.36150151691205,13.842150997265732,13.199448991771808
J145052.773-022755.848,222.7198895,-2.4655132,21.41595,J145052.773-022755.848_offset_A,222.7235950510028,-2.461911971521167,16.149843,18.593078800177377,225.7914225672522,-13.327634753200329,-12.9644410364881
J145455.735+012300.919,223.7322271,1.3835885,21.549364,J145455.735+012300.919_offset_A,223.7380955290636,1.386888749223914,18.757393,24.232567329688692,240.64066610216557,-21.120185214507806,-11.880871027663783
J150002.865+023925.477,225.011937,2.6570769,21.625233,J150002.865+023925.477_offset_A,225.01161175984072,2.655947186357189,17.860674,4.231810092314244,16.04452483048,1.1696057588429534,4.066969267944836
J150838.683-010943.751,227.1611779,-1.162153,21.616322,J150838.683-010943.751_offset_A,227.1672614615765,-1.1709362119914846,19.447104,38.46094074877704,325.29766120172314,-21.896316911022765,31.61953941425203
J151244.676-000622.231,228.1861499,-0.1061754,21.011902,J151244.676-000622.231_offset_A,228.1915783859918,-0.10379050066262,19.768885,21.345330513035385,246.28261186304582,-19.542516032600005,-8.585639291599833
J151304.074-005901.263,228.2669735,-0.9836841,20.833979,J151304.074-005901.263_offset_A,228.2766364846321,-0.97709054760223,16.123219,42.10936318190481,235.68827911772203,-34.781618190945245,-23.73683864689108
J151320.850-020253.692,228.3368743,-2.0482477,21.477562,J151320.850-020253.692_offset_A,228.3290854647008,-2.0476255615605767,18.975376,28.11126083112297,94.56988852584185,28.021892010885768,-2.2397664357923963
J151540.964-011155.599,228.9206817,-1.1987775,21.628983,J151540.964-011155.599_offset_A,228.9192418422849,-1.195811240469358,19.836227,11.86962128499662,154.11244078879108,5.182353271635567,-10.678535669258538
J151742.951+010138.977,229.4289631,1.0274936,21.737606,J151742.951+010138.977_offset_A,229.4296285706233,1.02211718140605,17.839607,19.502760819295464,352.94517845994375,-2.395309039882531,19.355107186358
J151910.739-003338.178,229.7947447,-0.560605,21.452002,J151910.739-003338.178_offset_A,229.798552093459,-0.5587961425448114,18.381548,15.174257067069487,244.5869609009854,-13.705960365949856,-6.511891279962961
J153208.884-015507.110,233.0370173,-1.9186418,21.066138,J153208.884-015507.110_offset_A,233.03743181263368,-1.9157541394985795,19.063194,10.50201609878224,188.16426994855726,-1.49140889406138,-10.3955779854651
J153520.324-002814.853,233.8346827,-0.4707926,21.0416,J153520.324-002814.853_offset_A,233.8337609325384,-0.4675933808884666,19.288843,11.985676099498885,163.92762587875993,3.3182508443525176,-11.517189019351331
J153556.964+005151.508,233.9873495,0.8643079,21.67318,J153556.964+005151.508_offset_A,233.98372005575376,0.8628736650249739,18.00282,14.047799269133922,68.43547369185119,13.064512683871854,5.163252141541101
J154021.357-005204.916,235.0889893,-0.8680323,21.582775,J154021.357-005204.916_offset_C,235.0940025405,-0.8747823892208703,17.230883,30.267945323053368,323.40213907561434,-18.04559478615595,24.300309142064208
J154231.029+000419.597,235.6292881,0.0721103,20.962662,J154231.029+000419.597_offset_A,235.6308567482527,0.0652626589312523,19.22806,25.290055603392414,347.097393613998,-5.647129277775424,24.65150793554447
J162559.817+241418.659,246.4992391,24.2385165,20.993569,J162559.817+241418.659_offset_B,246.5039868817973,24.248691592306383,16.871914,39.80781390358836,203.04864443558313,-15.585256957309674,-36.63006710225686
